MW,10:00am,12:00pm,1122
MW,8:00am,9:15am,0120
MW,8:00am,9:15am,0108
TuTh,8:00am,9:15am,0108
MWF,10:00am,10:50am,0135
MWF,10:00am,10:50am,0135
MWF,10:00am,10:50am,0135
MWF,10:00am,10:50am,0135
MWF,10:00am,10:50am,0135
MWF,10:00am,10:50am,0135
MWF,10:00am,10:50am,0135
MWF,10:00am,10:50am,0135
MWF,10:00am,10:50am,0135
MWF,11:00am,11:50am,0131
MWF,11:00am,11:50am,0131
MWF,11:00am,11:50am,0131
MWF,11:00am,11:50am,0131
MWF,11:00am,11:50am,0131
MWF,11:00am,11:50am,0131
MWF,11:00am,11:50am,0131
MWF,11:00am,11:50am,0131
MWF,11:00am,11:50am,0131
TuTh,12:30pm,1:45pm,0126
TuTh,12:30pm,1:45pm,0126
TuTh,12:30pm,1:45pm,0126
TuTh,12:30pm,1:45pm,0126
TuTh,12:30pm,1:45pm,0126
TuTh,12:30pm,1:45pm,0126
TuTh,12:30pm,1:45pm,0126
TuTh,12:30pm,1:45pm,0126
TuTh,12:30pm,1:45pm,0126
MWF,12:00pm,12:50pm,0135
MWF,12:00pm,12:50pm,0135
MWF,12:00pm,12:50pm,0135
MWF,12:00pm,12:50pm,0135
MWF,12:00pm,12:50pm,0135
MWF,12:00pm,12:50pm,0135
MWF,12:00pm,12:50pm,0135
TuTh,2:00pm,3:15pm,0126
TuTh,2:00pm,3:15pm,0126
TuTh,2:00pm,3:15pm,0126
TuTh,2:00pm,3:15pm,0126
TuTh,2:00pm,3:15pm,0126
TuTh,2:00pm,3:15pm,0126
TuTh,2:00pm,3:15pm,0126
Th,7:00am,8:50am,0126
Tu,10:00am,10:50am,0118
TuTh,12:30pm,2:00pm,0118
MW,9:00am,10:30am,0118
Th,9:00am,12:00pm,0118
TuTh,2:00pm,3:30pm,0118
MW,2:00pm,3:30pm,0118
MWF,1:00pm,1:50pm,0135
MWF,1:00pm,1:50pm,0135
MWF,1:00pm,1:50pm,0135
MWF,1:00pm,1:50pm,0135
MWF,1:00pm,1:50pm,0135
MWF,1:00pm,1:50pm,0135
MWF,1:00pm,1:50pm,0135
MWF,1:00pm,1:50pm,0135
TuTh,9:30am,10:45am,0135
TuTh,9:30am,10:45am,0135
TuTh,9:30am,10:45am,0135
TuTh,9:30am,10:45am,0135
TuTh,9:30am,10:45am,0135
TuTh,9:30am,10:45am,0135
TuTh,9:30am,10:45am,0135
TuTh,9:30am,10:45am,0135
TuTh,9:30am,10:45am,0126
TuTh,9:30am,10:45am,0126
TuTh,9:30am,10:45am,0126
TuTh,9:30am,10:45am,0126
TuTh,9:30am,10:45am,0126
TuTh,9:30am,10:45am,0126
TuTh,9:30am,10:45am,0131
TuTh,9:30am,10:45am,0131
TuTh,9:30am,10:45am,0131
TuTh,11:00am,12:15pm,0135
TuTh,11:00am,12:15pm,0135
TuTh,11:00am,12:15pm,0135
MWF,1:00pm,1:50pm,0131
MWF,1:00pm,1:50pm,0131
MWF,1:00pm,1:50pm,0131
MWF,1:00pm,1:50pm,0131
MWF,1:00pm,1:50pm,0131
MWF,1:00pm,1:50pm,0131
MWF,1:00pm,1:50pm,0131
MWF,1:00pm,1:50pm,0131
MWF,3:00pm,3:50pm,0131
MWF,3:00pm,3:50pm,0131
MWF,3:00pm,3:50pm,0131
MWF,3:00pm,3:50pm,0131
MWF,3:00pm,3:50pm,0131
MWF,3:00pm,3:50pm,0131
MWF,3:00pm,3:50pm,0131
MWF,3:00pm,3:50pm,0131
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,1:00pm,1:50pm,0126
MWF,10:00am,10:50am,0131
MWF,10:00am,10:50am,0131
MWF,10:00am,10:50am,0131
MWF,10:00am,10:50am,0131
MWF,10:00am,10:50am,0131
MWF,10:00am,10:50am,0131
MWF,10:00am,10:50am,0131
MWF,10:00am,10:50am,0131
MWF,12:00pm,12:50pm,0126
MWF,12:00pm,12:50pm,0126
MWF,12:00pm,12:50pm,0126
MWF,12:00pm,12:50pm,0126
MWF,12:00pm,12:50pm,0126
MWF,12:00pm,12:50pm,0126
MWF,12:00pm,12:50pm,0126
MWF,12:00pm,12:50pm,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
MWF,10:00am,10:50am,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,11:00am,12:15pm,0126
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,3:15pm,0131
TuTh,2:00pm,4:00pm,1122
MW,2:00pm,4:00pm,1122
MW,10:00am,12:00pm,1122
MW,10:00am,12:00pm,1122
